id,nome,cpf,email,telefone,endereco,data_nascimento,profissao,salario,estado_civil
1,João Vitor Araújo,457.239.061-43,bernardo23@moura.com,+55 21 6050-2811,"Ladeira de Ribeiro, 87, Jardim Atlântico, 89874526 Teixeira de Ramos / AL",1956-10-03,Karateca,36218,Casado
2,Davi Lucca Caldeira,942.137.058-97,larissa08@yahoo.com.br,84 3786-9094,"Loteamento Luna da Mata, 7, Vila Calafate, 49417495 Ramos / RS",1960-04-27,Cientista social,33212,Solteiro
3,Antônio da Rosa,210.874.395-23,catarinalima@yahoo.com.br,+55 61 7388 6380,"Alameda Maria Julia Teixeira, 3, Coqueiros, 57508526 Souza da Praia / RN",1964-04-20,Tecnólogo em automação industrial,33489,Solteiro
4,Caio Rodrigues,721.653.904-43,duartevitor-hugo@nascimento.com,(011) 5894-5995,"Esplanada Enzo Oliveira, 251, Parque São Pedro, 60449454 Costela / PA",1994-11-12,Ferroviário,76445,Divorciado
5,Lorena Novaes,853.091.267-59,ceciliasilva@gmail.com,+55 (031) 3543-5092,"Esplanada Aragão, 27, Vitoria Da Conquista, 73942-762 Teixeira / MA",1985-03-01,Empresário,8989,Divorciado
6,Olivia Mendes,803.751.692-02,peixotolivia@bol.com.br,(041) 9245 5449,"Feira Kaique Farias, Nossa Senhora Aparecida, 04190045 Rodrigues Paulista / PR",1949-04-10,Infectologista,20463,Divorciado
7,Maria Cecília Farias,512.698.437-37,mjesus@gmail.com,0300-192-4664,"Residencial Ana Júlia Melo, 75, Ribeiro De Abreu, 92040-360 Moraes / AM",1967-05-08,Pintor,53411,Divorciado
8,Cecília Pires,396.857.214-91,cda-mota@ig.com.br,+55 31 4373 6651,"Condomínio Correia, 71, Vila Mantiqueira, 76922106 Rocha do Amparo / AM",1949-03-16,Atleta de nado sincronizado,99272,Viúvo
9,Ian das Neves,845.729.031-23,sophia50@ribeiro.br,+55 84 7908 9543,"Aeroporto Arthur Freitas, Esplanada, 25182515 Rezende de Cardoso / PA",1948-06-09,Tapeceiro,88897,Divorciado
10,Srta. Alícia Farias,753.012.489-79,caua52@santos.net,+55 71 7227 7470,"Conjunto de Ferreira, 39, Diamante, 11858066 Ribeiro / AM",1952-02-08,Carpinteiro,3163,Divorciado
11,Breno Lima,940.158.726-49,antoniolima@uol.com.br,+55 (031) 6892 1495,"Setor Silveira, 1, Itapoa, 84512680 Jesus / MT",1960-11-07,Mergulhador,74901,Divorciado
12,Srta. Lara Campos,203.671.849-31,hda-luz@campos.net,21 8815-2841,"Núcleo Felipe Lima, 53, Dom Silverio, 28751-781 Cunha da Mata / PR",1953-09-19,Editor,27108,Viúvo
13,Cecília Melo,985.601.273-21,thomasalmeida@gmail.com,(011) 8148-9355,"Residencial de Ferreira, 43, Bernadete, 33918415 da Luz / BA",1953-01-22,Estilista,52942,Solteiro
14,Isabel Nunes,783.951.240-23,ccosta@castro.com,+55 (081) 6080 1923,"Morro Caldeira, Inconfidência, 83006-440 Santos / AM",2005-07-09,Revendedor,24247,Divorciado
15,Cauê Rodrigues,561.824.309-15,da-cruzbryan@gmail.com,0300-339-2291,"Passarela Azevedo, 14, Vila Copacabana, 04349929 da Luz das Flores / PR",1953-04-11,Berçarista,59149,Solteiro
16,Bianca da Cunha,380.197.645-93,diogosilva@pires.net,+55 (051) 2453 6521,"Travessa Porto, 291, João Pinheiro, 89029-070 Moreira / AM",1949-07-22,Atuário,95569,Solteiro
17,Sra. Ana Sophia da Rocha,405.162.793-43,enzo-gabriel17@ig.com.br,+55 71 4517 3106,"Morro Maria Sophia Nogueira, 50, Xangri-Lá, 49871-653 Pinto Grande / PB",2003-05-08,Pianista,11951,Solteiro
18,Rebeca Cunha,278.164.509-58,davi-lucascastro@bol.com.br,+55 (011) 8840-0272,"Núcleo Paulo Ribeiro, 1, Vila Barragem Santa Lúcia, 29319-552 Aragão / TO",1972-02-08,Cartógrafo,6736,Solteiro
19,Sr. Antônio Silveira,580.369.142-98,portoarthur@bol.com.br,31 7492-4185,"Quadra da Cruz, 45, Atila De Paiva, 11458-999 Fernandes / PB",1956-05-03,Baterista,21049,Solteiro
20,Srta. Melissa Cavalcanti,829.041.735-79,cardosoenzo@ig.com.br,(041) 0393 6520,"Quadra Stella Fogaça, 4, São Geraldo, 12048539 da Mata / SP",1938-02-27,Prático,97093,Viúvo
21,Lorena Araújo,974.563.028-47,lda-mota@barbosa.org,+55 11 1999 0960,"Chácara de Rezende, 301, Vila Mangueiras, 73268-674 Melo / RR",1948-08-06,Radialista programador,2196,Viúvo
22,Maitê Moura,618.035.274-71,vlopes@bol.com.br,(021) 5240-2113,"Conjunto Luiza da Rosa, 3, Vila São João Batista, 16615-807 Cavalcanti de Barros / ES",1978-09-01,Profissional de efeitos especiais,72851,Divorciado
23,Vitor das Neves,731.624.598-00,lorenzo13@viana.com,0800 533 3693,"Passarela Maria Fernanda Jesus, 61, Ernesto Nascimento, 88233-558 da Costa / ES",1944-06-22,Líder comunitário,2285,Viúvo
24,Clara Duarte,513.426.079-61,ana-carolina18@bol.com.br,(051) 3063 8283,"Condomínio Levi Barbosa, 82, Alto Caiçaras, 97388770 Melo do Galho / AL",1961-02-24,Arquivista,5070,Divorciado
25,Ana Clara Rodrigues,078.296.145-20,emanuel13@fogaca.br,+55 (081) 7607 2118,"Viaduto Davi Gonçalves, 147, Nova Vista, 99126251 Peixoto do Galho / AC",1985-12-29,Profissional de informática,7254,Viúvo
26,Samuel Castro,491.873.562-28,luna86@gmail.com,51 2677 4841,"Trevo Sophia da Conceição, 3, Glória, 20360377 Alves / RO",1955-05-27,Mágico,2965,Solteiro
27,Fernando Correia,390.514.267-80,eduarda80@bol.com.br,+55 (081) 1554-1480,"Aeroporto Renan Ribeiro, 93, São Lucas, 43815492 Carvalho / SC",1970-01-16,Vistoriador de sinistros,71174,Casado
28,Leandro Mendes,372.186.094-22,rezendearthur@ig.com.br,(051) 2737 9486,"Parque Beatriz das Neves, 40, Marajó, 65482918 Vieira / RS",1959-08-24,Harpista,74987,Casado
29,Lorenzo Duarte,172.083.645-08,kcardoso@bol.com.br,(051) 1637-8322,"Estação Sophia Cardoso, Cdi Jatoba, 52071692 Moraes / ES",1941-12-06,Profissional de relacionamento com investidores RI,93146,Casado
30,Milena Monteiro,752.819.643-64,aliciasales@martins.br,(051) 5978 0558,"Rua Benício Monteiro, 5, Ermelinda, 37544117 Martins / BA",1991-10-26,Alergologista,25105,Divorciado
31,Paulo Barbosa,514.037.968-66,eloahpires@rezende.com,84 6886 3922,"Conjunto da Mota, 90, Vila Cemig, 34457-255 Alves / MA",1952-10-04,Médico cirurgião,41500,Divorciado
32,Dr. Bernardo Cavalcanti,746.592.308-56,nicolas52@yahoo.com.br,+55 (081) 4156 8602,"Praia Ana Laura Martins, 512, Aeroporto, 44122-956 Cunha de Costela / SC",1973-02-12,Procurador de justiça,83384,Casado
33,Lucas Dias,957.326.814-00,clarafreitas@gmail.com,(071) 7072-8090,"Loteamento Cecília Mendes, Vila Aeroporto, 94557829 Aragão Grande / MS",1995-05-17,Timoneiro,44041,Casado
34,Esther da Paz,561.037.498-75,da-cruzluana@cavalcanti.net,+55 (081) 3469 8470,"Favela Moreira, 17, Santa Amelia, 28470-647 Peixoto Verde / BA",1999-12-12,Tecnólogo em papel e celulose,78601,Casado
35,Breno Pires,980.524.376-10,fogacajoao-vitor@melo.net,31 1510 5184,"Fazenda de Costa, 6, Vila Copasa, 12749-680 Araújo do Campo / PI",1967-04-18,Teólogo,83407,Divorciado
36,Sr. Luiz Henrique Rezende,386.215.940-05,renanda-cunha@ig.com.br,(084) 2587-1348,"Ladeira Duarte, 88, Corumbiara, 56948-795 Cavalcanti / BA",1993-10-10,Motofrete,32910,Viúvo
37,Isabel Silveira,518.493.702-14,cgoncalves@silva.com,0300 220 4322,"Lagoa de Teixeira, 3, Mineirão, 19992302 Correia / MT",1998-11-29,Bóia-fria,84184,Casado
38,Sr. Davi Lucca Ferreira,307.564.981-39,kevinpires@gmail.com,(081) 9840 8965,"Jardim Vitor da Rocha, 20, Bairro Das Indústrias Ii, 93891-651 Silva / MS",1976-12-29,Classificador contábil,94911,Solteiro
39,Gustavo Moraes,092.135.678-12,carlos-eduardonovaes@oliveira.net,+55 (081) 8394-8914,"Recanto Ferreira, 78, Coqueiros, 18419-880 Nunes do Oeste / MS",1977-09-25,Tatuador,55632,Divorciado
40,Pedro Miguel da Costa,605.714.398-10,maria-cecilia77@bol.com.br,11 3716-6760,"Praia Augusto da Rocha, Monte Azul, 86217999 Porto / RR",1976-10-22,Gestor ambiental,95318,Solteiro
41,Luiz Fernando Araújo,516.089.347-48,martinsbreno@goncalves.com,(061) 7078 4577,"Campo de Cunha, 15, Anchieta, 05941654 Ribeiro / RJ",1941-09-08,Escrivão,16848,Divorciado
42,Srta. Luana da Cunha,825.793.406-29,silvagustavo-henrique@rezende.com,(081) 4927 6686,"Lago de Sales, 33, Vila Fumec, 58938950 Teixeira Verde / TO",1994-08-06,Skatista,13161,Viúvo
43,Ryan da Cunha,374.802.196-87,xfernandes@uol.com.br,+55 41 7593-0131,"Esplanada de Lima, 20, Baleia, 68896-550 Pinto / AP",1937-12-12,Procurador de justiça,12336,Casado
44,Amanda Pereira,586.902.413-70,rezendealice@das.br,+55 21 7618 9017,"Condomínio de Gomes, 561, Engenho Nogueira, 74588-452 Gonçalves Paulista / TO",1990-07-06,Corregedor de justiça,77853,Casado
45,Srta. Júlia Porto,562.930.418-60,mmonteiro@uol.com.br,11 6894 7118,"Distrito de Silveira, 741, Eymard, 00033224 Duarte de Minas / TO",1957-10-08,Auditor,89126,Divorciado
46,Leandro Costa,047.891.635-39,camila51@hotmail.com,+55 71 3337 8821,"Quadra Ana Luiza Monteiro, 90, Maria Goretti, 53996-081 Farias / CE",1957-11-24,Agrônomo,85962,Casado
47,Clarice Freitas,710.532.694-80,pedro-henriquelima@barros.com,71 8042 4494,"Loteamento Rodrigues, Casa Branca, 86861-511 Silva / PI",1957-06-07,Torreiro/Torrista,77878,Solteiro
48,Vicente da Rocha,903.521.486-24,joao-felipeda-costa@jesus.org,(071) 5896-0476,"Estação Pereira, 512, Antonio Ribeiro De Abreu 1ª Seção, 39956290 Azevedo do Oeste / DF",1978-06-27,Mágico,48472,Viúvo
49,Srta. Joana Jesus,461.073.925-99,ramosana-julia@almeida.com,+55 (071) 7279 9837,"Conjunto de Cardoso, 326, Ernesto Nascimento, 39519-305 Rezende de Minas / GO",1999-11-05,Marcador de luz,42192,Solteiro
50,Giovanna Barros,601.392.875-40,rochaagatha@hotmail.com,+55 21 4890-8083,"Quadra Daniel Barbosa, 47, Atila De Paiva, 35594-101 Duarte / MT",1939-02-19,Assessor de imprensa,54084,Viúvo
51,Sr. Matheus Melo,058.371.962-77,eda-cruz@ig.com.br,0800-607-3111,"Quadra Júlia Ferreira, Vila São Gabriel, 78247446 Peixoto / RJ",1958-06-10,Engenheiro de iluminação,59474,Casado
52,Daniel Novaes,076.349.158-66,enascimento@hotmail.com,+55 (071) 7217 5791,"Travessa Lucas Gabriel Pereira, 78, Vila Nova Gameleira 1ª Seção, 22949-784 Novaes / SP",1945-01-11,Engenheiro florestal,33914,Divorciado
53,Dra. Mariane Cardoso,104.689.237-13,lorena51@yahoo.com.br,51 1691 4047,"Distrito Juan Araújo, 86, Grota, 16682407 Viana do Oeste / ES",1953-11-25,Terapeuta ocupacional,42252,Casado
54,Emanuella Farias,837.516.942-00,cunhaana-clara@uol.com.br,11 1967 2905,"Viela Vieira, 71, Horto, 12804683 Costela / AL",1979-09-04,Técnico em segurança do trabalho,25428,Solteiro
55,Melissa Silveira,948.710.653-75,juliana32@uol.com.br,+55 51 3144 6372,"Via Luiza Cardoso, Jaqueline, 74911-006 Martins / AP",1974-04-17,Assessor parlamentar,46982,Casado
56,João Miguel Jesus,496.357.218-46,pedro-lucas94@gmail.com,(084) 8570-4609,"Rua Nicole Almeida, 6, Estrela Do Oriente, 50728-541 Viana / RO",1984-07-12,Telefonista,49172,Divorciado
57,Pedro Miguel Pinto,736.892.401-31,wnovaes@oliveira.com,61 7857 9834,"Rua Brenda Caldeira, 162, Sport Club, 17887983 da Conceição de Gonçalves / SP",1959-05-12,Representante comercial,2411,Divorciado
58,Srta. Ana Vitória Nogueira,961.384.750-20,procha@bol.com.br,+55 (011) 0337-9353,"Praia de Fernandes, 362, Anchieta, 61936840 Lima / TO",1936-11-02,Cartunista,80540,Divorciado
59,Eloah Vieira,864.035.279-83,ocunha@gomes.com,+55 (071) 9479 4734,"Pátio Pietro Silveira, 434, Aparecida, 14247-552 Carvalho / CE",1989-10-28,Zootecnista,8053,Viúvo
60,Sra. Maria Cecília Freitas,497.812.350-04,ofogaca@castro.br,+55 11 0676-4453,"Núcleo da Mata, 200, Vila Copacabana, 56154-864 Oliveira da Mata / RN",1994-09-20,Clarinetista,81063,Solteiro
61,Stephany Cavalcanti,695.418.207-94,antoniopereira@hotmail.com,81 2724-3088,"Passarela de Fogaça, Leonina, 73666251 Nogueira do Oeste / GO",1945-03-18,Ajudante de produção,96555,Solteiro
62,Dr. Luiz Gustavo Rocha,321.908.567-95,eloahalmeida@silva.br,11 9960 5805,"Favela Valentina Campos, 47, São Geraldo, 14496730 Carvalho de Castro / AP",1980-12-09,Timoneiro,18126,Divorciado
63,Pietra Campos,974.210.865-01,ypires@silveira.com,+55 71 1421-5755,"Lagoa de Peixoto, 51, Conjunto Floramar, 21768294 Nunes das Pedras / GO",1952-12-19,Corredor de atletismo,11478,Divorciado
64,Maria Sophia Farias,243.715.096-06,joao-lucasmartins@da.br,(071) 4363 5244,"Praça da Cruz, 38, Vila Ouro Minas, 97130-590 Monteiro / SC",1947-03-24,Tenista,33587,Viúvo
65,Yuri Carvalho,265.438.719-46,marcos-viniciuspires@jesus.com,11 9371 1694,"Loteamento da Cruz, 61, Alto Caiçaras, 61036-471 Porto / TO",1961-08-01,Lixeiro/Coletor de lixo,15427,Casado
66,Amanda Campos,190.542.387-04,enrico16@cardoso.com,0500 930 6262,"Colônia Bianca Silveira, 6, Vila Independencia 2ª Seção, 28168904 Ferreira / GO",1989-09-10,Artesão,30896,Divorciado
67,Luiz Gustavo Sales,186.349.057-48,ana-vitoria15@freitas.br,61 9541 3532,"Alameda de Farias, 14, Etelvina Carneiro, 26698-575 Cardoso / AC",1941-07-24,Militar da Aeronáutica,80617,Casado
68,Otávio Nunes,630.974.158-66,cauenascimento@cavalcanti.org,(021) 2486-5319,"Lago Cardoso, 81, Delta, 54844-324 Aragão / PE",1966-01-07,Ator,91309,Divorciado
69,Paulo Cunha,650.871.243-80,caldeiraerick@alves.net,0800 632 0637,"Favela Souza, 168, Barão Homem De Melo 3ª Seção, 63888283 da Mota da Prata / AC",1948-08-22,Radiologista,93197,Casado
70,Giovanna da Rosa,765.403.921-25,ana-sophiapires@gmail.com,11 5796-2745,"Núcleo Brenda Duarte, 47, Estrela, 05624349 Oliveira / PB",2005-02-22,Consultor de moda,77105,Casado
71,Sr. Felipe Gonçalves,152.379.640-52,renanda-cunha@uol.com.br,+55 (081) 0731 1968,"Alameda Davi Lucca Melo, 33, Urca, 85069541 Sales / TO",1951-02-05,Engenheiro naval,44068,Solteiro
72,Sra. Stephany Sales,267.915.438-09,pietroporto@ig.com.br,+55 84 2163 3716,"Residencial Juan Caldeira, 10, Coração Eucarístico, 58913980 da Mota do Sul / RS",1997-07-04,Recreador,8116,Divorciado
73,Kamilly Porto,724.081.953-14,meloluigi@ig.com.br,(021) 3408 2100,"Praia Freitas, 5, Aparecida 7ª Seção, 78305-767 Fernandes de Costela / MS",1936-07-23,Lenhador,15885,Solteiro
74,Benjamin da Costa,629.701.854-58,arthurcarvalho@yahoo.com.br,61 5727 7590,"Parque Laís Nascimento, Cdi Jatoba, 75486-093 Araújo / PB",2004-03-01,Defensor Público,84423,Solteiro
75,Maria Luiza Martins,472.891.560-30,otaviobarbosa@lima.com,+55 84 5571 3402,"Trevo de Peixoto, 15, Santa Tereza, 76936378 Novaes de Viana / SC",1956-02-23,Patinador,40697,Viúvo
76,Dr. Fernando Peixoto,621.850.437-90,marcela12@da.net,+55 84 6028 6736,"Conjunto de Nascimento, 67, Piratininga, 76648625 Viana / SE",1996-10-04,Engenheiro mecânico,98835,Solteiro
77,Ryan Pinto,175.360.892-95,maitenascimento@ig.com.br,+55 (051) 4305-6221,"Travessa Nicolas Cunha, 94, Vila Minaslandia, 26222403 Cardoso / PR",1991-09-26,Lancheiro,14832,Casado
78,Júlia Porto,264.780.159-20,nporto@gmail.com,+55 (031) 7388 2157,"Travessa Mariana Silveira, 58, Santa Cruz, 90670554 Moraes / PR",1971-08-21,Engenheiro físico,39663,Viúvo
79,Nathan Araújo,318.045.296-05,luiz-felipe65@gmail.com,+55 (011) 4308 2682,"Residencial de da Conceição, 60, Santa Helena, 77786264 Duarte da Praia / MT",1949-05-01,Desembargador de justiça,94755,Casado
80,Alice da Mata,648.253.701-44,igornovaes@melo.br,+55 51 3996 3639,"Passarela Cardoso, 73, Caetano Furquim, 80722655 Silva / PE",1994-07-29,Aeronauta,81087,Divorciado
81,Samuel Peixoto,175.486.329-91,ncampos@da.br,+55 (041) 0296-6322,"Favela Silva, 29, Cruzeiro, 39194-157 Moura de Vieira / RS",1955-08-21,Corredor de atletismo,74174,Casado
82,Dra. Ana Beatriz Moraes,316.748.592-28,miguel67@hotmail.com,0900-762-2537,"Lagoa Luana Rocha, Vila Nova Cachoeirinha 1ª Seção, 79850-383 Cavalcanti Grande / PB",1941-10-12,Torreiro/Torrista,88682,Divorciado
83,Carolina Gomes,145.802.793-79,bianca63@uol.com.br,84 4263-1078,"Rodovia de Cardoso, 721, Vila Antena, 26530-605 Pereira / ES",1980-09-07,Coloproctologista,76191,Solteiro
84,Dra. Ana da Mota,320.951.467-43,fpeixoto@yahoo.com.br,51 6910 8304,"Avenida Carvalho, 975, Marieta 3ª Seção, 31732-804 Santos do Amparo / MA",1965-07-10,Cenotécnico,55445,Divorciado
85,Isaac Fernandes,340.615.829-33,vianasophie@hotmail.com,(011) 5870 8927,"Trevo da Rocha, 39, Nossa Senhora Aparecida, 88545-091 Fogaça / ES",1996-03-21,Contatólogo,98336,Casado
86,Dra. Raquel Silveira,831.549.726-09,isabelsilva@ig.com.br,+55 21 2049-0739,"Favela de da Rosa, 3, Vila Canto Do Sabiá, 25021-060 Almeida / MS",1999-03-10,Profissional de tecnologia de laticínios,72038,Solteiro
87,Murilo Cardoso,452.371.986-19,maria-alice71@uol.com.br,31 2699 7598,"Sítio de Nunes, Corumbiara, 99844-018 Viana do Amparo / PA",1958-07-12,Entalhador,37320,Casado
88,Breno Moura,125.086.394-51,csilveira@yahoo.com.br,71 3851 9535,"Condomínio de da Mata, 88, Jardim Vitoria, 72762-349 Teixeira Verde / MA",1947-03-05,Topógrafo,16468,Viúvo
89,Kaique Duarte,458.276.193-37,bruno09@costela.com,+55 31 2710 6068,"Morro de Barros, 7, Jardim Vitoria, 10834640 Cardoso da Prata / GO",1980-06-24,Corredor de atletismo,40437,Casado
90,Sr. Joaquim Costa,847.169.352-64,benicio78@gmail.com,51 9480 9791,"Rua de Nogueira, 76, Solimoes, 54978640 Cavalcanti dos Dourados / DF",1953-03-14,Florista,69613,Solteiro
91,Miguel Cunha,126.849.073-31,brenocarvalho@vieira.com,(061) 5740-9569,"Conjunto da Cruz, 7, Fernão Dias, 53479-387 Carvalho de Goiás / AL",1945-04-06,Engenheiro de transportes,86151,Solteiro
92,Raquel Farias,645.327.809-00,fernanda77@uol.com.br,+55 41 7429-8740,"Largo Melissa Fogaça, 5, Vera Cruz, 70829-611 Silva / PR",1996-12-11,Leiteiro,71423,Casado
93,Lorena Novaes,219.374.586-28,marcos-viniciusnascimento@nunes.com,+55 (061) 5649-0171,"Fazenda João Felipe Caldeira, 5, Bandeirantes, 23896484 da Paz de Minas / MS",2003-10-08,Corretor de imóveis,61489,Divorciado
94,Sr. João Miguel Fogaça,029.156.784-30,emanuella46@uol.com.br,(071) 4084-9511,"Viaduto Eloah Cunha, 77, Cardoso, 54464634 da Cunha / BA",1965-07-14,Zelador,61375,Viúvo
95,Sophie Moreira,927.154.830-23,bazevedo@hotmail.com,11 4045 4738,"Jardim de Gomes, 3, Vila Calafate, 51291641 Moraes / AL",1954-11-30,Defensor Público,81492,Divorciado
96,Dr. Isaac Teixeira,029.865.743-00,marina43@costela.com,+55 (051) 6874 2999,"Viaduto Luna Gomes, 15, Jardim Do Vale, 94656-419 da Rosa da Mata / MG",1980-02-11,Artista plástico,22742,Solteiro
97,Mirella Ribeiro,301.765.482-62,luanabarbosa@hotmail.com,+55 (041) 1963-1985,"Trecho da Paz, 89, Caiçara - Adelaide, 29479-420 Costa de Porto / PE",1950-05-24,Regente,90891,Casado
98,Ana Lívia Vieira,487.109.632-78,lorenamartins@hotmail.com,+55 (071) 6214 1996,"Jardim Guilherme Moura, 5, São Bernardo, 45879-384 da Luz / CE",1967-06-10,Letrista,66023,Divorciado
99,Caroline Aragão,849.527.301-23,silvaluiz-gustavo@bol.com.br,21 5875 4050,"Viela Nascimento, 22, Serra, 23876763 Lopes / PA",1970-03-15,Tecnólogo em produção moveleira,48067,Casado
100,Sr. Davi Silveira,284.035.697-00,silveiraisabella@bol.com.br,+55 (051) 0660 1703,"Largo de Lima, 427, Camargos, 52504-095 Freitas de Fernandes / AM",1943-03-25,Guincheiro,58845,Divorciado
101,Dra. Stephany Carvalho,037.219.485-05,opeixoto@ig.com.br,21 3906-7698,"Setor de Cunha, 98, Confisco, 30276-734 Araújo da Serra / MT",1942-03-23,Ciclista,36674,Viúvo
102,Arthur Lima,163.409.758-01,oliveiraaugusto@cardoso.com,+55 (021) 2304 4173,"Núcleo de Gomes, 846, Horto, 78921445 Sales do Galho / MS",1973-09-12,Apontador de mão-de-obra,14948,Casado
103,Diogo Nogueira,146.083.752-53,costelaguilherme@fogaca.com,+55 (031) 3654 6456,"Via Rezende, 12, Bernadete, 68081218 Oliveira / SP",2006-07-29,Montador de negativos,78124,Solteiro
104,Gabriel da Mota,691.420.875-11,brendada-mota@ig.com.br,+55 31 2476 3648,"Rua Pires, Piratininga, 74866-707 Rodrigues / PE",2002-08-05,Serralheiro,90454,Divorciado
105,Paulo da Rocha,905.268.741-20,pda-cruz@hotmail.com,41 4890-5247,"Estrada Peixoto, 23, Vila São Dimas, 96233413 Peixoto Paulista / TO",1948-07-20,Contábil,52263,Viúvo
106,Sabrina Oliveira,371.056.849-84,isabellycaldeira@azevedo.com,+55 (021) 3635 1755,"Lagoa Souza, 40, Parque São José, 60242-096 da Mata de Goiás / MA",1970-03-13,Metalúrgico,10356,Casado
107,Lorenzo das Neves,641.983.270-50,icaldeira@da.net,31 6306-7035,"Esplanada Elisa da Conceição, 50, Beira Linha, 08619-494 Caldeira do Amparo / RS",1968-06-28,Gastroenterologista,90966,Casado
108,Enzo Gabriel Castro,832.064.175-62,caiocavalcanti@porto.net,(084) 2840-6269,"Pátio Mariana Porto, 59, Granja De Freitas, 53172400 Aragão do Galho / SC",1986-10-08,Urologista,80816,Viúvo
109,Marcelo Vieira,920.153.846-42,hnogueira@carvalho.com,+55 21 5865-9207,"Viela Monteiro, Vila Nova Dos Milionarios, 67128-553 Moreira de Freitas / CE",2005-07-20,Técnico em agropecuária,42416,Solteiro
110,Theo Mendes,139.724.508-50,psilveira@oliveira.net,+55 (051) 7172 4275,"Favela de Cavalcanti, 320, São Francisco Das Chagas, 77701-995 Martins / RN",1985-09-09,Profissional de logística,19302,Casado
111,Mariana Oliveira,361.075.928-30,igoncalves@hotmail.com,(021) 2099-1058,"Conjunto Martins, 90, Ermelinda, 93367996 Cunha / AP",1976-03-29,Engenheiro de supply chain ou logística,44289,Viúvo
112,Dr. Vitor Gabriel Cavalcanti,095.684.732-38,laura99@cardoso.com,+55 (051) 4821-6598,"Chácara Duarte, 36, Estrela, 76571-370 da Paz de Goiás / MS",1994-09-21,Consultor de radiestesia,86296,Divorciado
113,Sra. Mariane Pinto,352.479.801-23,bnunes@cardoso.com,0300 153 5447,"Ladeira Dias, 86, Diamante, 29236-509 Cavalcanti / PE",1984-04-13,Endocrinologista,65889,Casado
114,Arthur Farias,284.965.073-00,upeixoto@martins.net,+55 81 6360 6350,"Viaduto de Farias, São João, 77434-511 Almeida das Flores / SE",1941-10-07,Produtor musical,84351,Divorciado
115,Raquel Moraes,975.648.012-20,guilhermecampos@da.org,31 1822-3520,"Alameda de da Cunha, 56, Vila Madre Gertrudes 2ª Seção, 05713-626 Costela / RR",1955-05-03,Tecnólogo em jogos digitais,33135,Viúvo
116,Emanuel da Costa,432.519.687-00,marcos-viniciusfreitas@yahoo.com.br,+55 (041) 6342 7712,"Travessa Ana Júlia Martins, 7, Goiania, 64374650 Jesus / AP",1982-10-16,Recepcionista,30623,Casado
117,Ian Melo,065.314.982-42,miguelda-cunha@mendes.org,51 1735 9714,"Colônia Raquel da Rosa, 20, São Bento, 49669-988 da Paz de Martins / AC",1968-12-01,Instalador de painéis,38009,Divorciado
